bank,sample,test,lr_stat,p_value,df,reject_5pct,n_obs,n_violations,stated_rate
JPM,full_sample,UC,41.75252539258611,1.0358836576046538e-10,1,True,1509,136,0.049999999999999996
JPM,full_sample,IND,16.970919241221054,3.7956765204984684e-05,1,True,1509,136,0.049999999999999996
JPM,full_sample,CC,58.72344463380716,1.771601415424119e-13,2,True,1509,136,0.049999999999999996
JPM,stress,UC,24.44441928093974,7.648474086658296e-07,1,True,313,38,0.049999999999999996
JPM,stress,IND,4.830978280763702,0.02795276523736951,1,True,313,38,0.049999999999999996
JPM,stress,CC,29.275397561703443,4.394689455742586e-07,2,True,313,38,0.049999999999999996
JPM,calm,UC,21.715472626344194,3.1623037974767295e-06,1,True,1196,98,0.049999999999999996
JPM,calm,IND,16.32778395526691,5.327706394861417e-05,1,True,1196,98,0.049999999999999996
JPM,calm,CC,38.043256581611104,5.482918576513576e-09,2,True,1196,98,0.049999999999999996
GS,full_sample,UC,106.83173799690087,4.846168968250174e-25,1,True,1509,7,0.049999999999999996
GS,full_sample,IND,0.0652900434593704,0.7983221435818477,1,False,1509,7,0.049999999999999996
GS,full_sample,CC,106.89702804036024,6.132044461253725e-24,2,True,1509,7,0.049999999999999996
GS,stress,UC,19.687941022859945,9.117490455969257e-06,1,True,313,2,0.049999999999999996
GS,stress,IND,0.012882503341014484,0.9096332783329608,1,False,313,2,0.049999999999999996
GS,stress,CC,19.70082352620096,5.272547813877541e-05,2,True,313,2,0.049999999999999996
GS,calm,UC,87.38588194605083,8.92855471768894e-21,1,True,1196,5,0.049999999999999996
GS,calm,IND,0.042016930351792325,0.8375875032752242,1,False,1196,5,0.049999999999999996
GS,calm,CC,87.42789887640262,1.0357930121831412e-19,2,True,1196,5,0.049999999999999996
MS,full_sample,UC,85.54227994753359,2.2680001782839597e-20,1,True,1509,12,0.049999999999999996
MS,full_sample,IND,0.19251543350887346,0.6608312384265982,1,False,1509,12,0.049999999999999996
MS,full_sample,CC,85.73479538104246,2.415047791538441e-19,2,True,1509,12,0.049999999999999996
MS,stress,UC,15.919537052577041,6.609294985732386e-05,1,True,313,3,0.049999999999999996
MS,stress,IND,0.03877265175034239,0.8438997491792676,1,False,313,3,0.049999999999999996
MS,stress,CC,15.958309704327384,0.00034252878768342677,2,True,313,3,0.049999999999999996
MS,calm,UC,69.75011764612036,6.731384080397707e-17,1,True,1196,9,0.049999999999999996
MS,calm,IND,0.13659490291175302,0.7116898835949692,1,False,1196,9,0.049999999999999996
MS,calm,CC,69.88671254903211,6.6725708028879e-16,2,True,1196,9,0.049999999999999996
BAC,full_sample,UC,5.470021334694678,0.019345389400847395,1,True,1509,7,0.01
BAC,full_sample,IND,5.201127057521873,0.022572248101653498,1,True,1509,7,0.01
BAC,full_sample,CC,10.671148392216551,0.004817143333055014,2,True,1509,7,0.01
BAC,stress,UC,0.2245357789985647,0.635605404202668,1,False,313,4,0.01
BAC,stress,IND,4.543877986293381,0.033036667044839006,1,True,313,4,0.01
BAC,stress,CC,4.768413765291946,0.09216204591836077,2,False,313,4,0.01
BAC,calm,UC,9.689899970719082,0.001852836261372295,1,True,1196,3,0.01
BAC,calm,IND,0.015100687082700404,0.9021982803126899,1,False,1196,3,0.01
BAC,calm,CC,9.705000657801783,0.007808828480327814,2,True,1196,3,0.01
C,full_sample,UC,7.167924474292306,0.007421859519936519,1,True,1509,6,0.01
C,full_sample,IND,5.856235817293623,0.015521955012142697,1,True,1509,6,0.01
C,full_sample,CC,13.024160291585929,0.001485386686324569,2,True,1509,6,0.01
C,stress,UC,0.005530236071180639,0.9407195144054951,1,False,313,3,0.01
C,stress,IND,5.870517946504851,0.015396521285899118,1,True,313,3,0.01
C,stress,CC,5.876048182576032,0.052970289859926294,2,False,313,3,0.01
C,calm,UC,9.689899970719082,0.001852836261372295,1,True,1196,3,0.01
C,calm,IND,0.015100687082700404,0.9021982803126899,1,False,1196,3,0.01
C,calm,CC,9.705000657801783,0.007808828480327814,2,True,1196,3,0.01
