bank,slice,slice_type,n_obs,n_violations,stated_rate,actual_rate,lr_pof,p_value,ci_lower_violations,ci_upper_violations,outside_interval,reject_1pct,reject_5pct,reject_10pct
JPM,full_sample,full,1509,96,0.049999999999999996,0.0636182902584493,5.444580128515327,0.01962913250737295,60,92,True,False,True,True
JPM,2019,year,251,3,0.05,0.01195219123505976,10.890824043233337,0.0009664182386925363,7,19,True,True,True,True
JPM,2020,year,253,17,0.049999999999999996,0.06719367588932806,1.4281166256336064,0.23207205222904853,7,19,False,False,False,False
JPM,2021,year,252,14,0.049999999999999996,0.05555555555555555,0.15829757907766862,0.6907287550167174,7,19,False,False,False,False
JPM,2022,year,251,16,0.05,0.06374501992031872,0.9219364311487084,0.3369670418603712,7,19,False,False,False,False
JPM,2023,year,250,12,0.05,0.048,0.021324025180589956,0.8838996943305307,7,19,False,False,False,False
JPM,2024,year,252,34,0.049999999999999996,0.1349206349206349,26.673773898827932,2.408687564948755e-07,7,19,True,True,True,True
JPM,high,vix_regime,313,35,0.049999999999999996,0.11182108626198083,18.92883706637477,1.3568607518109654e-05,9,23,True,True,True,True
JPM,low,vix_regime,390,13,0.05,0.03333333333333333,2.571281193937125,0.10881956676399095,12,28,False,False,False,False
JPM,medium,vix_regime,806,48,0.049999999999999996,0.05955334987593052,1.463249313018025,0.22641382790714293,29,52,False,False,False,False
GS,full_sample,full,1509,95,0.049999999999999996,0.06295559973492379,4.945107125019263,0.02616461734268526,60,92,True,False,True,True
GS,2019,year,251,6,0.05,0.02390438247011952,4.4227628860450565,0.03546257138952877,7,19,True,False,True,True
GS,2020,year,253,23,0.049999999999999996,0.09090909090909091,7.252734743042367,0.0070793117003193065,7,19,True,True,True,True
GS,2021,year,252,17,0.049999999999999996,0.06746031746031746,1.464930902893201,0.22614718921700985,7,19,False,False,False,False
GS,2022,year,251,11,0.05,0.043824701195219126,0.2098950857765658,0.6468496471131213,7,19,False,False,False,False
GS,2023,year,250,8,0.05,0.032,1.9441360560286967,0.16322015045707433,7,19,False,False,False,False
GS,2024,year,252,30,0.049999999999999996,0.11904761904761904,18.546499466575995,1.6580945137841326e-05,7,19,True,True,True,True
GS,high,vix_regime,313,35,0.049999999999999996,0.11182108626198083,18.92883706637477,1.3568607518109654e-05,9,23,True,True,True,True
