bank,model,stated_rate,n_obs,n_violations,violation_rate,kupiec_lr,kupiec_p,kupiec_reject_5pct
JPM,historical_simulation,0.01,1258,43,0.03418124006359301,45.61104845389656,1.4422576927095076e-11,True
JPM,parametric_normal,0.01,1258,58,0.046104928457869634,88.12379456189592,6.1483551104834024e-21,True
JPM,parametric_t,0.01,1258,56,0.04451510333863275,81.93495412643716,1.4063988596425115e-19,True
JPM,ewma,0.01,1258,48,0.03815580286168521,58.729944910061135,1.8086774607858072e-14,True
JPM,disclosed,0.049999999999999996,1509,96,0.0636182902584493,5.444580128515327,0.01962913250737295,True
GS,historical_simulation,0.01,1258,43,0.03418124006359301,45.61104845389656,1.4422576927095076e-11,True
GS,parametric_normal,0.01,1258,46,0.03656597774244833,53.34598345898365,2.7968248921810583e-13,True
GS,parametric_t,0.01,1258,42,0.033386327503974564,43.12766827089263,5.128189490998562e-11,True
GS,ewma,0.01,1258,46,0.03656597774244833,53.34598345898365,2.7968248921810583e-13,True
GS,disclosed,0.049999999999999996,1509,95,0.06295559973492379,4.945107125019263,0.02616461734268526,True
MS,historical_simulation,0.01,1258,41,0.03259141494435612,40.693556372709565,1.780734066243143e-10,True
MS,parametric_normal,0.01,1258,50,0.0397456279809221,64.28723285989327,1.075403476194438e-15,True
MS,parametric_t,0.01,1258,49,0.038950715421303655,61.48735217487871,4.455963378825798e-15,True
MS,ewma,0.01,1258,50,0.0397456279809221,64.28723285989327,1.075403476194438e-15,True
MS,disclosed,0.049999999999999996,1509,116,0.07687210072895957,19.84582635408924,8.394581625840317e-06,True
BAC,historical_simulation,0.01,1258,46,0.03656597774244833,53.34598345898365,2.7968248921810583e-13,True
BAC,parametric_normal,0.01,1258,51,0.04054054054054054,67.12877184132918,2.543392815151742e-16,True
BAC,parametric_t,0.01,1258,53,0.04213036565977742,72.9337224897306,1.3407756839693449e-17,True
BAC,ewma,0.01,1258,48,0.03815580286168521,58.729944910061135,1.8086774607858072e-14,True
BAC,disclosed,0.01,1509,23,0.015241882041086813,3.609205608769173,0.05746056060552359,False
C,historical_simulation,0.01,1258,46,0.03656597774244833,53.34598345898365,2.7968248921810583e-13,True
C,parametric_normal,0.01,1258,49,0.038950715421303655,61.48735217487871,4.455963378825798e-15,True
C,parametric_t,0.01,1258,60,0.04769475357710652,94.45726004932737,2.5044188681585815e-22,True
C,ewma,0.01,1258,52,0.04133545310015898,70.0111860233041,5.896910825804082e-17,True
C,disclosed,0.01,1509,22,0.0145791915175613,2.8004591706885265,0.09423731544960338,False
