bank,year,stress_rate,calm_rate,n_stress_days,amplification
BAC,all,0.012779552715654952,0.002508361204013378,313,5.094781682641107
C,all,0.009584664536741214,0.002508361204013378,313,3.8210862619808306
GS,all,0.006389776357827476,0.004180602006688963,313,1.5284345047923322
JPM,all,0.12140575079872204,0.08193979933110368,313,1.4816456934211384
MS,all,0.009584664536741214,0.007525083612040134,313,1.2736954206602769
BAC,2019,0.0,0.004,1,0.0
C,2019,0.0,0.0,1,
GS,2019,0.0,0.004,1,0.0
JPM,2019,0.0,0.024,1,0.0
MS,2019,0.0,0.0,1,
BAC,2020,0.025974025974025976,0.0,154,
C,2020,0.01948051948051948,0.0,154,
GS,2020,0.006493506493506494,0.0,154,
JPM,2020,0.07142857142857142,0.0,154,
MS,2020,0.006493506493506494,0.0,154,
BAC,2021,0.0,0.0,21,
C,2021,0.0,0.0,21,
GS,2021,0.0,0.0,21,
JPM,2021,0.14285714285714285,0.04329004329004329,21,3.3
MS,2021,0.0,0.0,21,
BAC,2022,0.0,0.0,130,
C,2022,0.0,0.008264462809917356,130,0.0
GS,2022,0.0,0.0,130,
JPM,2022,0.14615384615384616,0.08264462809917356,130,1.7684615384615385
MS,2022,0.007692307692307693,0.008264462809917356,130,0.9307692307692308
BAC,2023,0.0,0.0,3,
C,2023,0.0,0.0,3,
GS,2023,0.0,0.0,3,
JPM,2023,0.6666666666666666,0.08097165991902834,3,8.233333333333333
MS,2023,0.0,0.016194331983805668,3,0.0
BAC,2024,0.0,0.008064516129032258,4,0.0
C,2024,0.0,0.008064516129032258,4,0.0
GS,2024,0.25,0.016129032258064516,4,15.5
JPM,2024,0.75,0.20967741935483872,4,3.5769230769230766
MS,2024,0.25,0.016129032258064516,4,15.5
